bsky_handle,name
@uligroetsch.bsky.social,Uli Grötsch
@ulleschauws.bsky.social,Ulle Schauws
@ulrichlechte.bsky.social,Ulrich Lechte
@wilmsval.bsky.social,Valerie Wilms
@verena-hubertz.de,Verena Hubertz
@victorperli.bsky.social,Victor Perli
@wanderwitz.bsky.social,Marco Wanderwitz
@strengmann-kuhn.de,Wolfgang Strengmann-Kuhn
@yeonerhie.de,Ye-One Rhie
@yvonnemagwas.bsky.social,Yvonne Magwas
@zandamartens.bsky.social,Zanda Martens
@evahoegl.bsky.social,Eva Högl
@robert-habeck.de,Robert Habeck
