,X,bsky_handle,name
42,43,@reploisfrankel.bsky.social,Lois Frankel
43,44,@repgwenmoore.bsky.social,Gwen Moore
44,45,@repgregstanton.bsky.social,Greg Stanton
45,46,@repbillfoster.bsky.social,Bill Foster
46,47,@ericsorensen.bsky.social,Eric Sorensen
47,48,@repraulruizmd.bsky.social,Raul Ruiz
48,49,@emilyrandallwa.bsky.social,Emily Randall
50,51,@repdingell.bsky.social,Debbie Dingell
51,52,@joeneguse.bsky.social,Joe Neguse
52,53,@repmcgarvey.bsky.social,Morgan McGarvey
53,54,@juliabrownley.house.gov,Julia Brownley
54,55,@donaldnorcross.bsky.social,Donald Norcross
55,56,@raskin.house.gov,Jamie Raskin
56,57,@repstansbury.bsky.social,Melanie Stansbury
57,58,@pattymurray.bsky.social,Patty Murray
58,59,@juliejohnsontx.bsky.social,Julie Johnson
59,61,@senatorjackyrosen.bsky.social,Jacky Rosen
60,62,@ericswalwell.bsky.social,Eric Swalwell
61,63,@jahimes.bsky.social,Jim Himes
62,64,@repsethmoulton.bsky.social,Seth Moulton
63,NA,@corybooker.com,Cory Booker
64,NA,@danielsgoldman.dg4ny.co,Daniel Goldman
65,NA,@fetterman.senate.gov,John Fetterman
66,NA,@markey.senate.gov,Ed Markey
67,NA,@padilla.senate.gov,Alex Padilla
68,NA,@sanders.senate.gov,Bernie Sanders
69,NA,@smith.senate.gov,Tina Smith
70,NA,@whitehouse.senate.gov,Sheldon Whitehouse
71,NA,@wyden.senate.gov,Ron Wyden
,,@menendez.house.gov,Rob Menendez
,,@rephaleystevens.bsky.social,Haley Stevens
,,@repfletcher.bsky.social,Lizzie Fletcher
,,@sarajacobs.house.gov,Sara Jacobs
,,@rep-rosa-delauro.bsky.social,Rosa DeLauro
,,@repjasoncrow.bsky.social,Jason Crow
,,@bennet.senate.gov,Michael Bennet
,,@repauchincloss.bsky.social,Jake Auchincloss
,,@yassaminansari.bsky.social,Yassamin Ansari
,,@adamsmith.house.gov,Adam Smith
,,@repbrendanboyle.bsky.social,Brendan Boyle
,,@amo.house.gov,Gabe Amo
,,@fernandez.house.gov,Teresa Leger Fernandez
,,@repericaleecater.bsky.social,Erica Lee Carter
,,@jayapal.house.gov,Pramila Jayapal
,,@repmikelevin.bsky.social,Mike Levin
,,@jonathanjackson.house.gov,Jonathan Jackson
,,@repjoeneguse.bsky.social,Joe Neguse
,,@repkamlagerdove.bsky.social,Sydney Kamlager-Dove
,,@houlahan.house.gov,Chrissy Houlahan
,,@murray.senate.gov,Patty Murray
,,@salinas.house.gov,Andrea Salinas
,,@vgescobar.bsky.social,Veronica Escobar
,,@bobbyscott.house.gov,Bobby Scott
,,@warren.senate.gov,Elizabeth Warren
,,@budzinski.house.gov,Nikki Budzinski
,,@gomez.house.gov,Jimmy Gomez
,,@repkevinmullin.bsky.social,Kevin Mullin
,,@hakeem-jeffries.bsky.social,Hakeem Jeffries
,,@repgregorywmeeks.bsky.social,Gregory Meeks
,,@repgreglandsman.bsky.social,Greg Landsman
,,@magaziner.house.gov,Seth Magaziner
,,@repshontelbrown.bsky.social,Shontel Brown
,,@repvalhoyle.bsky.social,Val Hoyle
,,@repbradsherman.bsky.social,Brad Sherman
,,@carbajal.house.gov,Salud Carbajal
,,@doggett.house.gov,Lloyd Doggett
,,@repmoskowitz.bsky.social,Jared Moskowitz
,,@repjerrynadler.bsky.social,Jerry Nadler
,,@underwood.house.gov,Lauren Underwood
,,@keating.house.gov,Bill Keating
,,@elizabeth-warren.bsky.social,Elizabeth Warren
,,@schiff.senate.gov,Adam Schiff
,,@gluesenkampperez.house.gov,Marie Gluesenkamp Perez
